잔여표시관리번호,지주관리번호,방향,설치일,교체일,X좌표,Y좌표,제조업체,작업구분,표출구분,종류,신규정규화ID,상태,공사관리번호,잔여표시관리번호,연번-이력ID,위치정보,FRM_CDE,MNG_AGEN,XGEO,A074_RGB_CDE
25-0000011025,02-0000026521,317,20000101  ,20000101  ,187646.904870972,545246.595105949,-,001,002,1  ,1156992    ,001,-,25-011025,13342,1,-,-,,001
25-0000011026,02-0000026505,90 ,20000101  ,20000101  ,187607.037499924,545274.031243362,-,001,002,1  ,1157804    ,001,-,25-011026,13343,1,-,-,,001
25-0000011492,02-0000016108,232,20140704,20140704,209468.59149,545064.33986,-,001,001,0  ,5196564    ,001,-,25-011492,13809,1,001,-,,001
25-0000003281,02-0000082880,259,20180425  ,20180425  ,204779.975000028,558937.549994971,한길에이치씨,001,002,1  ,5404231    ,001,2017-0201-113,25-003281,5292,1,001,-,,001
25-0000011497,02-0000171546,90 ,20140704  ,20140704  ,206635.33750004,545060.531243341,-,001,002,0  ,5136965    ,001,-,25-011497,13814,1,001,-,,001
25-0000000797,02-0000001721,161,20070601  ,20141202  ,194201.831532973,550740.714582868,(주)양광시스템,006,002,0  ,2297092    ,001,2015-0101-003,25-000797,111,1,002,-,,001
25-0000006049,02-0000161181,281,20080101  ,20141202  ,192923.312499957,550519.068743976,(주)양광시스템,001,002,0  ,2267452    ,001,2015-0101-003,25-006049,10106,1,002,-,,001
25-0000011911,02-0000180276,3  ,20141108  ,-,190422.974999942,553317.193744306,(주)양광시스템,006,002,0  ,2313413    ,001,2014-0101-072,25-011911,14228,1,001,-,,001
25-0000011927,02-0000180331,73 ,20150206  ,20200730  ,199600.39252609,548352.106655718,아이엔티티,006,002,1  ,3293827    ,001,2020-0401-001,25-011927,14244,1,002,-,,001
25-0000011387,02-0000109167,237,20000101,20000101,203378.33074,545473.03266,-,001,001,0  ,4177441    ,001,-,25-011387,13704,1,-,-,,001
25-0000011527,02-0000137338,96 ,20140722  ,20140722  ,198004.266135883,546902.730099867,-,001,002,0  ,3260633    ,001,-,25-011527,13844,1,001,-,,001
25-0000009807,02-0000157577,14 ,20000101,20000101,190623.808990346,552992.525003422,-,001,002,0  ,2312841    ,001,-,25-009807,12124,1,-,-,,001
25-0000005509,02-0000061189,248,20100222,20100222,197433.50558,549095.65741,구전산업,001,002,0  ,-,001,2013-0201-029,25-005509,4128,1,004,-,,001
25-0000001643,02-0000064264,135,20070601,20070601,187961.09539,547845.40026,-,006,001,0  ,-,001,2013-1801-003,25-001643,4314,1,003,-,,001
25-0000010360,02-0000178062,281,20131130  ,20131130  ,200837.820161699,552066.486807868,(주)삼일신호공사,001,002,1  ,4320362    ,001,2013-0201-024,25-010360,12677,1,001,-,,001
25-0000010352,02-0000178053,293,20131130  ,20131130  ,201116.438032173,552026.386533401,(주)삼일신호공사,006,002,1  ,4320856    ,001,2013-0201-024,25-010352,12669,1,001,-,,001
25-0000010405,02-0000168905,239,20130910  ,20130910  ,185709.350885429,542500.071159707,한국노인생활지원재단,006,002,1  ,1121058    ,001,2013-0101-092,25-010405,12722,1,001,-,,001
25-0000010396,02-0000168903,69 ,20130910  ,20130910  ,185686.817801482,542519.002164204,한국노인생활지원재단,006,002,1  ,1121054    ,001,2013-0101-092,25-010396,12713,1,001,-,,001
25-0000010385,02-0000054876,33 ,20130820  ,20130820  ,188972.299999932,548939.61874379,한국노인생활지원재단,006,002,1  ,1284537    ,001,2013-0101-092,25-010385,12702,1,001,-,,001
25-0000010460,02-0000142866,172,20131125  ,20131125  ,188535.362499929,547489.00624362,진우산전(주),006,002,0  ,1271743    ,001,2013-0101-137,25-010460,12777,1,002,-,,001
25-0000010450,02-0000026300,165,20131117,20131117,187696.31956,545717.8524,한국노인생활지원재단,001,002,1  ,1167092    ,001,2013-0101-105,25-010450,12767,1,001,-,,001
25-0000003280,02-0000082881,92 ,20180425  ,20180425  ,204764.472976601,558929.701443298,한길에이치씨,001,002,1  ,5404131    ,001,2017-0201-113,25-003280,5291,1,001,-,,001
25-0000010442,02-0000015916,45 ,-,20131120,191004.61246,548504.66348,-,006,001,0  ,2223651    ,001,2013-0101-130,25-010442,12759,1,004,-,,001
25-0000006058,02-0000161193,238,20090730  ,20181021  ,193060.824999957,550658.368743995,신한교통,001,002,0  ,2267783    ,001,2017-0201-090,25-006058,10115,1,004,-,,001
25-0000010432,02-0000068466,120,20140110  ,20140110  ,188739.274999931,546710.481243528,디오전기,001,002,1  ,1189195    ,001,2014-0101-003,25-010432,12749,1,001,-,,001
25-0000010521,02-0000167659,111,20130820  ,20130820  ,205737.812032,562170.282577395,아이엔티티,006,002,0  ,5520184    ,001,2013-0101-031,25-010521,12838,1,001,-,,001
25-0000010509,02-0000089833,170,20130820,20130820,206609.3785,562021.35008,아이엔티티,006,001,0  ,5530852    ,001,2013-0101-029,25-010509,12826,1,001,-,,001
25-0000001808,02-0000104421,203,20070601  ,20200630  ,194026.5836132,550173.875283727,-,001,002,0  ,2286683    ,001,2020-0101-005,25-001808,6724,1,004,-,,001
25-0000010550,02-0000084597,15 ,20131205  ,20131205  ,205527.06220602,561830.671210165,아이엔티티,006,002,1  ,5510712    ,001,2014-0101-018,25-010550,12867,1,001,-,,001
25-0000010263,02-0000041054,9  ,20131220,20131220,209668.652518497,543382.382162568,삼일신호공사,001,002,1  ,5193921    ,001,2013-0401-004,25-010263,12580,1,001,-,,001
25-0000000443,02-0000039584,0  ,20130920  ,20130920  ,205515.565670558,544450.623752152,-,006,002,1  ,5115641    ,001,2013-0401-004,25-000443,3005,1,004,-,,001
25-0000010506,02-0000174276,73 ,20131202  ,20131202  ,206543.110610001,562437.410549874,아이엔티티,006,002,1  ,5531732    ,001,2014-0101-013,25-010506,12823,1,001,-,,001
25-0000010483,02-0000088931,5  ,20131203  ,20131203  ,207045.080768719,561215.952218034,아이엔티티,006,002,1  ,5448794    ,001,2014-0101-008,25-010483,12800,1,001,-,,001
25-0000005539,02-0000104700,0  ,20100222  ,20200630  ,194028.59349421,549759.131593977,구전산업,001,002,1  ,22867010   ,001,2020-0101-005,25-005539,6738,1,004,-,,001
25-0000016957,02-0000180327,-,20200730  ,20200730  ,199624.440278701,548336.751299219,아이엔티티,001,002,1  ,3293817    ,001,2020-0401-001,25-016957,19274,-,001,-,,001
25-0000010562,02-0000085293,96 ,20131209  ,20131209  ,205513.5807283,560379.750767441,아이엔티티,006,002,1  ,5417627    ,001,2014-0101-022,25-010562,12879,1,001,-,,001
25-0000010249,02-0000109795,222,20131220,20131220,205876.08718,545579.80866,-,006,001,1  ,5127361    ,001,2013-0401-004,25-010249,12566,1,004,-,,001
25-0000016956,02-0000052176,-,20200730  ,20200730  ,199620.1277787,548332.063799219,아이엔티티,001,002,1  ,3293816    ,001,2020-0401-001,25-016956,19273,-,001,-,,001
25-0000010608,02-0000178431,226,20131218  ,20131218  ,212053.119938479,547693.141726416,-,006,002,0  ,6241782    ,001,2013-0401-005,25-010608,12925,1,004,-,,001
25-0000001659,02-0000063505,114,20070601  ,20220630  ,183773.639837373,551478.570611121,(주)한길에이치씨,001,002,1  ,0289143    ,001,2021-0201-082,25-001659,4276,1,002,-,,001
